task,archive_cost,parent_cost,archive_valid,compliance_hold,source_path,candidate_path,changes,status,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,delta_vs_archive,delta_vs_parent,accepted_derived
task304,300,1320,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task304.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task304.onnx,,unchanged,,,,,,,,,,,,,,,,
task307,5,5,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task307.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task307.onnx,,unchanged,,,,,,,,,,,,,,,,
task311,30,30,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task311.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task311.onnx,,unchanged,,,,,,,,,,,,,,,,
task314,100,100,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task314.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task314.onnx,,unchanged,,,,,,,,,,,,,,,,
task315,230,230,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task315.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task315.onnx,,unchanged,,,,,,,,,,,,,,,,
task331,500,910,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task331.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task331.onnx,,unchanged,,,,,,,,,,,,,,,,
task332,80,438,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task332.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task332.onnx,,unchanged,,,,,,,,,,,,,,,,
task335,1010,1324,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task335.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task335.onnx,,unchanged,,,,,,,,,,,,,,,,
task347,143,143,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task347.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task347.onnx,,unchanged,,,,,,,,,,,,,,,,
task349,14892,12480,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task349.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task349.onnx,,unchanged,,,,,,,,,,,,,,,,
task351,995,1229,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task351.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task351.onnx,,unchanged,,,,,,,,,,,,,,,,
task353,244,244,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task353.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task353.onnx,,unchanged,,,,,,,,,,,,,,,,
task356,1220,1319,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task356.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task356.onnx,,unchanged,,,,,,,,,,,,,,,,
task357,279,291,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task357.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task357.onnx,,unchanged,,,,,,,,,,,,,,,,
task358,2584,3798,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task358.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task358.onnx,,unchanged,,,,,,,,,,,,,,,,
task359,4284,4282,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task359.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task359.onnx,,unchanged,,,,,,,,,,,,,,,,
task362,121,521,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task362.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task362.onnx,,unchanged,,,,,,,,,,,,,,,,
task363,4284,4259,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task363.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task363.onnx,,unchanged,,,,,,,,,,,,,,,,
task364,14642,14640,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task364.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task364.onnx,,unchanged,,,,,,,,,,,,,,,,
task372,710,360,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task372.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task372.onnx,,unchanged,,,,,,,,,,,,,,,,
task373,30,60,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task373.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task373.onnx,,unchanged,,,,,,,,,,,,,,,,
task378,1980,3087,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task378.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task378.onnx,,unchanged,,,,,,,,,,,,,,,,
task381,1753,1750,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task381.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task381.onnx,,unchanged,,,,,,,,,,,,,,,,
task382,4206,5640,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task382.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task382.onnx,,unchanged,,,,,,,,,,,,,,,,
task383,3621,5800,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task383.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task383.onnx,,unchanged,,,,,,,,,,,,,,,,
task384,481,481,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task384.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task384.onnx,,unchanged,,,,,,,,,,,,,,,,
task386,211,211,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task386.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task386.onnx,,unchanged,,,,,,,,,,,,,,,,
task388,1102,1822,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task388.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task388.onnx,,unchanged,,,,,,,,,,,,,,,,
task390,2699,2699,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task390.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task390.onnx,,unchanged,,,,,,,,,,,,,,,,
task391,159,159,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task391.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task391.onnx,,unchanged,,,,,,,,,,,,,,,,
task392,1169,1703,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task392.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task392.onnx,,unchanged,,,,,,,,,,,,,,,,
task400,1181,1102,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task400.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task400.onnx,,unchanged,,,,,,,,,,,,,,,,
