task,archive_cost,parent_cost,archive_valid,compliance_hold,source_path,candidate_path,changes,status,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,delta_vs_archive,delta_vs_parent,accepted_derived
task081,464,464,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task081.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task081.onnx,,unchanged,,,,,,,,,,,,,,,,
task082,190,190,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task082.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task082.onnx,,unchanged,,,,,,,,,,,,,,,,
task087,5,5,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task087.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task087.onnx,,unchanged,,,,,,,,,,,,,,,,
task089,3517,6739,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task089.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task089.onnx,,unchanged,,,,,,,,,,,,,,,,
task091,2355,2730,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task091.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task091.onnx,,unchanged,,,,,,,,,,,,,,,,
task094,2677,2671,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task094.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task094.onnx,,unchanged,,,,,,,,,,,,,,,,
task095,208,345,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task095.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task095.onnx,,unchanged,,,,,,,,,,,,,,,,
task096,7678,6850,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task096.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task096.onnx,,unchanged,,,,,,,,,,,,,,,,
task099,504,1899,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task099.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task099.onnx,,unchanged,,,,,,,,,,,,,,,,
task105,1467,2844,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task105.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task105.onnx,,unchanged,,,,,,,,,,,,,,,,
task106,626,626,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task106.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task106.onnx,,unchanged,,,,,,,,,,,,,,,,
task107,3576,3576,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task107.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task107.onnx,,unchanged,,,,,,,,,,,,,,,,
task108,150,300,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task108.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task108.onnx,,unchanged,,,,,,,,,,,,,,,,
task113,30,30,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task113.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task113.onnx,,unchanged,,,,,,,,,,,,,,,,
task114,251,900,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task114.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task114.onnx,,unchanged,,,,,,,,,,,,,,,,
