task,priority_band,assignment_cost,assignment_points,current_cost,current_points,gap_to_25,shape_class,size_trend,color_class,examples,json_bytes,quick_win_score,first_action
task302,P3_ge17p5,1774,17.519008,1774.0,17.519008,7.480992,same_shape,same_size,new_output_colors,266,249276,28.752683,defer_until_p0p1_done
task141,P3_ge17p5,1383,17.76799,1383.0,17.76799,7.23201,same_shape,same_size,input_palette_only,265,322541,28.554779,defer_until_p0p1_done
task356,P3_ge17p5,1319,17.815371,1319.0,17.815371,7.184629,same_shape,same_size,input_palette_only,266,176924,28.364243,defer_until_p0p1_done
task301,P3_ge17p5,1141,17.96034,1141.0,17.96034,7.03966,same_shape,same_size,input_palette_only,266,89672,27.794977,defer_until_p0p1_done
task159,P3_ge17p5,1568,17.642444,1568.0,17.642444,7.357556,shape_change,shrink,input_palette_only,265,465430,27.618964,defer_until_p0p1_done
task225,P3_ge17p5,1031,18.061716,1031.0,18.061716,6.938284,same_shape,same_size,input_palette_only,265,70259,27.40858,defer_until_p0p1_done
task193,P3_ge17p5,910,18.186555,910.0,18.186555,6.813445,same_shape,same_size,input_palette_only,266,322848,26.945172,defer_until_p0p1_done
task351,P3_ge17p5,1229,17.886044,1229.0,17.886044,7.113956,shape_change,shrink,input_palette_only,265,241184,26.798766,defer_until_p0p1_done
task304,P3_ge17p5,1441,17.726907,1320.0,17.814613,7.185387,shape_change,grow,new_output_colors,266,84888,26.550682,defer_until_p0p1_done
task015,P3_ge17p5,900,18.197605,900.0,18.197605,6.802395,same_shape,same_size,new_output_colors,265,144989,26.30479,defer_until_p0p1_done
task230,P3_ge17p5,900,18.197605,900.0,18.197605,6.802395,same_shape,same_size,new_output_colors,266,291654,26.30479,defer_until_p0p1_done
task194,P3_ge17p5,949,18.144591,949.0,18.144591,6.855409,shape_change,grow,input_palette_only,266,47382,25.969913,defer_until_p0p1_done
task221,P3_ge17p5,805,18.309158,805.0,18.309158,6.690842,shape_change,grow,input_palette_only,267,220294,25.462336,defer_until_p0p1_done
task178,P3_ge17p5,762,18.364053,762.0,18.364053,6.635947,shape_change,shrink,input_palette_only,268,32472,25.296212,defer_until_p0p1_done
task372,P3_ge17p5,710,18.434735,710.0,18.434735,6.565265,shape_change,shrink,input_palette_only,266,155644,25.084557,defer_until_p0p1_done
task362,P3_ge17p5,521,18.74425,521.0,18.74425,6.25575,same_shape,same_size,input_palette_only,267,177589,25.022297,defer_until_p0p1_done
task332,P3_ge17p5,561,18.670279,561.0,18.670279,6.329721,same_shape,same_size,new_output_colors,267,80401,24.791131,defer_until_p0p1_done
task065,P3_ge17p5,638,18.541662,638.0,18.541662,6.458338,shape_change,shrink,input_palette_only,266,101134,24.768978,defer_until_p0p1_done
task081,P3_ge17p5,464,18.860115,464.0,18.860115,6.139885,same_shape,same_size,new_output_colors,264,91642,24.218428,defer_until_p0p1_done
task203,P3_ge17p5,355,19.127882,355.0,19.127882,5.872118,same_shape,same_size,input_palette_only,267,267429,23.816794,defer_until_p0p1_done
task072,P3_ge17p5,421,18.957367,421.0,18.957367,6.042633,shape_change,shrink,new_output_colors,268,93298,23.316363,defer_until_p0p1_done
task121,P3_ge17p5,326,19.213103,326.0,19.213103,5.786897,shape_change,shrink,input_palette_only,266,157240,22.897863,defer_until_p0p1_done
task108,P3_ge17p5,300,19.296218,300.0,19.296218,5.703782,shape_change,grow,input_palette_only,266,421644,22.677736,defer_until_p0p1_done
task146,P3_ge17p5,267,19.412751,265.0,19.42027,5.57973,shape_change,shrink,input_palette_only,267,41953,22.35324,defer_until_p0p1_done
task315,P3_ge17p5,230,19.561921,230.0,19.561921,5.438079,shape_change,grow,input_palette_only,266,84888,21.988314,defer_until_p0p1_done
task052,P3_ge17p5,194,19.732142,194.0,19.732142,5.267858,same_shape,same_size,new_output_colors,267,24331,21.789271,defer_until_p0p1_done
task180,P3_ge17p5,210,19.652892,210.0,19.652892,5.347108,shape_change,shrink,input_palette_only,268,77486,21.756916,defer_until_p0p1_done
task252,P3_ge17p5,180,19.807043,180.0,19.807043,5.192957,same_shape,same_size,new_output_colors,266,178118,21.59339,defer_until_p0p1_done
task298,P3_ge17p5,135,20.094725,135.0,20.094725,4.905275,same_shape,same_size,input_palette_only,267,93669,21.088634,defer_until_p0p1_done
task391,P3_ge17p5,159,19.931096,159.0,19.931096,5.068904,shape_change,shrink,input_palette_only,267,163232,21.062507,defer_until_p0p1_done
task347,P3_ge17p5,143,20.037155,143.0,20.037155,4.962845,shape_change,shrink,new_output_colors,269,31776,20.643185,defer_until_p0p1_done
task144,P3_ge17p5,104,20.355609,104.0,20.355609,4.644391,shape_change,shrink,new_output_colors,267,55303,19.900664,defer_until_p0p1_done
task142,P3_ge17p5,90,20.50019,90.0,20.50019,4.49981,shape_change,grow,input_palette_only,266,47382,19.69532,defer_until_p0p1_done
task373,P3_ge17p5,60,20.905655,60.0,20.905655,4.094345,same_shape,same_size,input_palette_only,75,7909,19.040745,defer_until_p0p1_done
task113,P3_ge17p5,30,21.598803,30.0,21.598803,3.401197,same_shape,same_size,input_palette_only,265,107979,17.40489,defer_until_p0p1_done
task311,P3_ge17p5,30,21.598803,30.0,21.598803,3.401197,shape_change,grow,input_palette_only,266,31422,17.204058,defer_until_p0p1_done
task276,P3_ge17p5,10,22.697415,10.0,22.697415,2.302585,same_shape,same_size,new_output_colors,266,51988,14.889775,defer_until_p0p1_done
task307,P3_ge17p5,5,23.390562,5.0,23.390562,1.609438,shape_change,grow,input_palette_only,266,68127,13.382854,defer_until_p0p1_done
