task,parent_path,candidate_path,attempted,source_policy,parent_nodes,parent_initializers,parent_initializer_elements,variant_count,opportunities,status,parent_score_task,parent_score_path,parent_score_ok,parent_score_valid_all_checked,parent_score_examples_checked,parent_score_examples_passed,parent_score_examples_failed,parent_score_memory,parent_score_params,parent_score_cost,parent_score_points,parent_score_file_size,parent_score_sha256,parent_score_error,errors,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,candidate_graph_nodes,candidate_graph_initializers,candidate_graph_initializer_elements,selected_variant,selected_changes,delta_cost,delta_points,accepted
task044,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task044.onnx,E:\kongming\NGC-work\workplace C\artifacts\all399_parent_micro_sweep\task044\optional_defaults.onnx,True,parent_only_no_archive,139,23,148,3,combined=optional_defaults:4|unit_reduction_axes:1;optional_defaults=optional_defaults:4;unit_reduction_axes=unit_reduction_axes:1,valid_no_cost_gain,task044,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task044.onnx,True,True,266,266,0,3060,148,3208,16.926597031013593,14826,e6568a1dc69d62338b9e70fd50a99e0a4993fa91fa13f9e309a55fe173506321,,"combined:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:ReduceSum, node name: n_color_counts): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 2: (30) vs (1)
(op_type:ReduceMax, node name: n_patch_bad): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 2: (3) vs (1)
(op_type:Pad, node name: n_out30): [ShapeInferenceError] Pads has incorrect number of values. Expected 2 * 1 values. Got 4 values.
 || unit_reduction_axes:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:ReduceSum, node name: n_color_counts): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 2: (30) vs (1)
(op_type:ReduceMax, node name: n_patch_bad): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 2: (3) vs (1)
(op_type:Pad, node name: n_out30): [ShapeInferenceError] Pads has incorrect number of values. Expected 2 * 1 values. Got 4 values.
",task044,True,True,266,266,0,3060,148,3208,16.926597031013593,14829,8c8f92897114eeaf76254050de1088c2102dacd397d11c965ef5b36902778e14,,139,23,148,optional_defaults,optional_defaults:4,0,0.0,False
task045,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task045.onnx,,True,parent_only_no_archive,11,8,623,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task046,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task046.onnx,,True,parent_only_no_archive,52,23,70,1,combined=unit_reduction_axes:1,all_variants_failed,task046,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task046.onnx,True,True,267,267,0,1999,70,2069,17.365179322254455,6483,1bc4cb4fec4f2c535916d4b15f8be046382187b7ee593e291735c61ef8bf547b,,"combined:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:ReduceMax): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (2)
",,,,,,,,,,,,,,,,,,,,,
task047,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task047.onnx,,True,parent_only_no_archive,19,16,36,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task048,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task048.onnx,,True,parent_only_no_archive,71,15,115,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task049,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task049.onnx,,True,parent_only_no_archive,25,7,103,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task050,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task050.onnx,,True,parent_only_no_archive,12,5,24,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task051,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task051.onnx,,True,parent_only_no_archive,45,5,101,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task052,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task052.onnx,,True,parent_only_no_archive,6,6,104,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task053,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task053.onnx,,True,parent_only_no_archive,1,1,30,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task054,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task054.onnx,,True,parent_only_no_archive,283,46,194,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task055,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task055.onnx,,True,parent_only_no_archive,19,6,176,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task056,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task056.onnx,,True,parent_only_no_archive,9,4,11,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task057,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task057.onnx,,True,parent_only_no_archive,20,6,30,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task058,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task058.onnx,,True,parent_only_no_archive,5,3,781,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task059,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task059.onnx,,True,parent_only_no_archive,9,9,290,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task060,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task060.onnx,,True,parent_only_no_archive,1,2,1010,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task061,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task061.onnx,,True,parent_only_no_archive,9,6,35,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task062,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task062.onnx,,True,parent_only_no_archive,44,21,59,1,combined=unit_reduction_axes:4|init_cleanup:2,all_variants_failed,task062,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task062.onnx,True,True,267,267,0,2417,59,2476,17.185600366195512,5311,e47fecc451ff8efe3c6ac537365c498aa323df0788009e58f8bd9af06e943de8,,"combined:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:ReduceMax, node name: axis_col_occ): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
(op_type:ReduceMax, node name: axis_row_occ): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
(op_type:Cast, node name: obj_col_occ_late_cast): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
(op_type:Cast, node name: obj_row_occ_late_cast): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
",,,,,,,,,,,,,,,,,,,,,
task063,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task063.onnx,,True,parent_only_no_archive,14,7,26,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task064,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task064.onnx,,True,parent_only_no_archive,68,20,86,1,combined=unit_reduction_axes:1,all_variants_failed,task064,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task064.onnx,True,True,267,267,0,10358,86,10444,15.74621707018098,3317,7f23b80e83b1b1e54b4bf365594121a68bfbb38f94ed498b3dfd0a723e314515,,"combined:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:TopK): [ShapeInferenceError] Axis has less than the requested k elements.
(op_type:Slice): [TypeInferenceError] Input 0 expected to have type but instead is null
(op_type:Gather): [TypeInferenceError] Input 0 expected to have type but instead is null
",,,,,,,,,,,,,,,,,,,,,
task065,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task065.onnx,,True,parent_only_no_archive,28,13,56,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task066,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task066.onnx,,True,parent_only_no_archive,188,30,193,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task067,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task067.onnx,,True,parent_only_no_archive,1,0,0,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task068,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task068.onnx,,True,parent_only_no_archive,14,10,123,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task069,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task069.onnx,E:\kongming\NGC-work\workplace C\artifacts\all399_parent_micro_sweep\task069\optional_defaults.onnx,True,parent_only_no_archive,31,15,52,3,combined=optional_defaults:1|unit_reduction_axes:6|init_cleanup:1;optional_defaults=optional_defaults:1;unit_reduction_axes=unit_reduction_axes:6|final_init_cleanup:1,valid_no_cost_gain,task069,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task069.onnx,True,True,264,264,0,2864,52,2916,17.02203190687145,2835,58a2f8304be0e66ac8401ee47c7f800bb2335c1009dd2b7ac8883c2a3fe58c66,,"combined:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:ReduceMax): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
(op_type:ReduceMax): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
(op_type:Add): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 0: (1) vs (3)
(op_type:Add): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 0: (2) vs (4)
(op_type:ReduceMax): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (2) vs (0)
 || unit_reduction_axes:checker:InferenceError:[ShapeInferenceError] Inference error(s): (op_type:ReduceMax): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
(op_type:ReduceMax): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (3) vs (1)
(op_type:Add): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 0: (1) vs (3)
(op_type:Add): [ShapeInferenceError] Inferred shape and existing shape differ in dimension 0: (2) vs (4)
(op_type:ReduceMax): [ShapeInferenceError] Inferred shape and existing shape differ in rank: (2) vs (0)
",task069,True,True,264,264,0,2864,52,2916,17.02203190687145,2858,2c2aa11018bd7a1f2a95be3af4783a594e3d36473fe8e8f82de2f2ff9baa5961,,31,15,52,optional_defaults,optional_defaults:1,0,0.0,False
task070,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task070.onnx,,True,parent_only_no_archive,11,5,216,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task071,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task071.onnx,E:\kongming\NGC-work\workplace C\artifacts\all399_parent_micro_sweep\task071\combined.onnx,True,parent_only_no_archive,32,14,56,1,combined=optional_defaults:1,valid_no_cost_gain,task071,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task071.onnx,True,True,265,265,0,2607,56,2663,17.11279141418607,3098,a5ef0bd5a5854af84e4242cdd388aded06011325d742359d26990ca35a5cfeea,,,task071,True,True,265,265,0,2607,56,2663,17.11279141418607,3116,ea1ee31fe5b05e1f0afc06fa8fb51c309b0225ceb68ecfe3e4686e8b61ddef36,,32,14,56,combined,optional_defaults:1,0,0.0,False
task072,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task072.onnx,E:\kongming\NGC-work\workplace C\artifacts\all399_parent_micro_sweep\task072.onnx,True,parent_only_no_archive,4,6,98,1,combined=optional_defaults:1|init_cleanup:1,accepted,task072,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task072.onnx,True,True,268,268,0,270,98,368,19.09191706183107,981,4bade205df58c2a94306be734ac6bbf5274594a9ae252c7448ebe1b0c7368b9b,,,task072,True,True,268,268,0,270,97,367,19.09463815194543,953,b1446c322241bbef5162f3e96a8efe451c036573d381a55c432c5b752c5ed52c,,4,5,97,combined,optional_defaults:1;init_cleanup:1,1,0.0027210901143597255,True
task073,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task073.onnx,,True,parent_only_no_archive,1,1,40,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task074,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task074.onnx,,True,parent_only_no_archive,6,6,1958,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task075,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task075.onnx,,True,parent_only_no_archive,12,9,68,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
