task,attempt_id,method,old_cost,new_cost,delta_cost,old_points,new_points,delta_points,local_valid,artifact_path,accepted,notes
task286,surgery_sim,onnxoptimizer/onnxsim_full_validate,26909,26909,0,14.799783917876258,14.799783917876258,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task286.onnx,False,onnxsim(input=1x10x30x30)
task286,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,26909,26909,0,14.799783917876258,14.799783917876258,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task286.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task054,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,25394,25394,0,14.857731795370263,14.857731795370263,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task054.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task054,surgery_sim,onnxoptimizer/onnxsim_full_validate,25394,25394,0,14.857731795370263,14.857731795370263,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task054.onnx,False,onnxsim(input=1x10x30x30)
task054,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,25394,25394,0,14.857731795370263,14.857731795370263,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task054.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task364,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,14642,14642,0,15.408350609793413,15.408350609793413,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task364.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task364,surgery_sim,onnxoptimizer/onnxsim_full_validate,14642,14642,0,15.408350609793413,15.408350609793413,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task364.onnx,False,onnxsim(input=1x10x30x30)
task364,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,14642,14642,0,15.408350609793413,15.408350609793413,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task364.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task349,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,14892,14892,0,15.391420565007392,15.391420565007392,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task349.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task349,surgery_sim,onnxoptimizer/onnxsim_full_validate,14892,14892,0,15.391420565007392,15.391420565007392,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task349.onnx,False,onnxsim(input=1x10x30x30)
