task,current_cost,best_cost,points,local_target_met,rule_valid,onnx_valid,examples_passed,examples_total,public_parent_score,public_candidate_score,public_delta,online_verified,artifact_path,blocker
task132,3652,3652,16.79696975828514,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task132.onnx,task_model_missing
task141,1383,1383,17.76798966833524,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task141.onnx,task_model_missing
task142,90,90,20.500190329669735,true,,true,266,266,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task142.onnx,
task144,104,104,20.35560910085863,true,,true,267,267,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task144.onnx,
task146,265,265,19.42027017401378,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task146.onnx,task_model_missing
task158,28483,28023,14.759219119459042,false,,true,,,,,,false,E:\kongming\NGC-work\workplace C\single_task\task158\onnx\task158_candidate.onnx,task_model_missing
task159,1568,1568,17.642443799089648,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task159.onnx,task_model_missing
task165,4544,4544,16.578437039599013,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task165.onnx,task_model_missing
task178,762,762,18.364053444313353,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task178.onnx,task_model_missing
task180,210,210,19.65289246928253,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task180.onnx,task_model_missing
task190,2427,2427,17.2055887942734,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task190.onnx,task_model_missing
task193,910,100,20.394829814011906,false,true,false,173,266,,,,false,E:\kongming\NGC-work\workplace C\single_task\task193\onnx\task193_candidate.onnx,onnx_validation_failed
task194,949,949,18.14459120139007,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task194.onnx,task_model_missing
task201,3046,3046,16.978415466544895,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task201.onnx,task_model_missing
task203,355,355,19.127882210524582,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task203.onnx,task_model_missing
task221,805,805,18.309157722581435,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task221.onnx,task_model_missing
task224,1886,1886,17.457786536806598,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task224.onnx,task_model_missing
task225,1031,1031,18.06171551598304,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task225.onnx,task_model_missing
task230,900,900,18.197605236675688,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task230.onnx,task_model_missing
task237,1836,1836,17.484655428819565,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task237.onnx,task_model_missing
task252,180,180,19.807043149109788,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task252.onnx,task_model_missing
task276,10,10,22.697414907005953,true,,true,266,266,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task276.onnx,
task278,4505,4505,16.58705682995756,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task278.onnx,task_model_missing
task284,3089,3089,16.96439730708142,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task284.onnx,task_model_missing
task286,26909,26909,14.799783917876258,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task286.onnx,task_model_missing
task298,135,135,20.09472522156157,true,,true,267,267,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task298.onnx,
task301,1141,1141,17.960339650137925,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task301.onnx,task_model_missing
task302,1774,1774,17.519007837130474,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task302.onnx,task_model_missing
task304,1320,1320,17.814612984419583,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task304.onnx,task_model_missing
task307,5,5,23.3905620875659,true,,true,266,266,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task307.onnx,
task311,30,30,21.598802618337846,true,,true,266,266,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task311.onnx,
task315,230,230,19.561920691076804,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task315.onnx,task_model_missing
task332,561,561,18.670279094477305,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task332.onnx,task_model_missing
task335,1380,1380,17.77016122184875,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task335.onnx,task_model_missing
task347,143,143,20.03715536974009,true,,true,269,269,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task347.onnx,
task349,14892,10362,15.754099452625267,false,true,false,6,267,,,,false,E:\kongming\NGC-work\workplace C\single_task\task349\onnx\task349_candidate.onnx,onnx_validation_failed
task351,1229,1229,17.886043890433967,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task351.onnx,task_model_missing
task356,1319,1319,17.815370847282686,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task356.onnx,task_model_missing
task362,521,521,18.744249958246634,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task362.onnx,task_model_missing
task364,14642,14642,15.408350609793413,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task364.onnx,task_model_missing
task372,710,710,18.43473502996464,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task372.onnx,task_model_missing
task373,60,60,20.9056554377779,true,,true,75,75,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task373.onnx,
task378,3091,3091,16.963750057867884,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task378.onnx,task_model_missing
task381,1753,1753,17.530916115078767,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task381.onnx,task_model_missing
task382,5695,5695,16.352656124118717,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task382.onnx,task_model_missing
task383,5830,5830,16.32922772065546,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task383.onnx,task_model_missing
task388,1829,1829,17.488475351609132,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task388.onnx,task_model_missing
task391,159,159,19.93109579777977,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task391.onnx,task_model_missing
task392,1941,1941,17.42904141683099,false,,true,,,,,,false,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task392.onnx,task_model_missing
