task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_sha256
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\set_unique_name_for_nodes\task118.onnx,True,False,3,3,0,116144,142,116286,13.336192047071197,4741,2dacc6562cdaa7671db9c512bb1979fc4204ff2076d1e326c5e16e38ba1ba868,,2dacc6562cdaa7671db9c512bb1979fc4204ff2076d1e326c5e16e38ba1ba868
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\set_unique_name_for_nodes\task133.onnx,True,False,3,3,0,196254,480,196734,12.810392158501072,10923,976c665a0c7489770b7179901f78bc679d308fc548f31988585c06d4d0c2fb13,,976c665a0c7489770b7179901f78bc679d308fc548f31988585c06d4d0c2fb13
task174,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\set_unique_name_for_nodes\task174.onnx,True,False,3,3,0,51945,74,52019,14.140635684557754,62064,70a5800307e9349cae54b9f6aee145234b28c356581fafa340f59202b6ace740,,70a5800307e9349cae54b9f6aee145234b28c356581fafa340f59202b6ace740
task249,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\set_unique_name_for_nodes\task249.onnx,True,False,3,3,0,8676,323,8999,15.895131260966052,1976,a06413a1d6053967bd475f181294f6d0d768df715148449758b017c34a37cb8d,,a06413a1d6053967bd475f181294f6d0d768df715148449758b017c34a37cb8d
task321,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\set_unique_name_for_nodes\task321.onnx,True,False,3,3,0,5376,135,5511,16.385498626116764,1805,282751248daa0948b9b7fc953297e72b80f7db56833b0f4e02af70140e5891ca,,282751248daa0948b9b7fc953297e72b80f7db56833b0f4e02af70140e5891ca
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_init\task133.onnx,False,False,1,0,1,,480,,,5137,a0965777d6d6dd9b87ab28d98576f7edfec6ad063e580abc042552ec0527c0e8,,a0965777d6d6dd9b87ab28d98576f7edfec6ad063e580abc042552ec0527c0e8
task174,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_init\task174.onnx,False,False,1,0,1,,74,,,1152,034565795dc8ff8a22926bb0a9a5782d7bd856aa846c1bb2e6b8e52a16fc7d52,,034565795dc8ff8a22926bb0a9a5782d7bd856aa846c1bb2e6b8e52a16fc7d52
task249,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_init\task249.onnx,False,False,1,0,1,,323,,,1321,9b86d43d7510d65f81847c3fbd5f7731d0961237d46ef86dcf3aa6257c66e14a,,9b86d43d7510d65f81847c3fbd5f7731d0961237d46ef86dcf3aa6257c66e14a
task315,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_init\task315.onnx,False,False,1,0,1,,17,,,353,b228d905d586ed163874334c3a65f7b683c9904fb0083aa18244685e0aad8886,,b228d905d586ed163874334c3a65f7b683c9904fb0083aa18244685e0aad8886
task321,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_init\task321.onnx,False,False,1,0,1,,135,,,840,85b6eaf2af4537455d4cdfa337b8973d6e7672198341f48b858fa65bb25469da,,85b6eaf2af4537455d4cdfa337b8973d6e7672198341f48b858fa65bb25469da
