task,path,status,arc_agi_pass,arc_agi_fail,arc_gen_pass,arc_gen_fail,memory,params,cost,points,filesize,error
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_v127_all_v001\task233.onnx,ok,4,0,262,0,1444504,12251,1456755,10.808278082702646,283250,
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_v138_all_v001\task233.onnx,ok,4,0,262,0,1444504,12251,1456755,10.808278082702646,283250,
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_v143_all_v001\task233.onnx,ok,4,0,262,0,570517,2845,573362,11.740727441128433,86304,
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_v145_again_v001\task233.onnx,ok,4,0,262,0,570517,2845,573362,11.740727441128433,86304,
233,F:\kaggle\neurogolf-2026\experiments\onnxsim_variant_a_task233_20260627\task233.onnx,ok,4,0,262,0,65101,644,65745,13.906461098478982,29936,
233,F:\kaggle\neurogolf-2026\experiments\source_review_20260627_candidates\233_submission_4c7fc968f8\task233.onnx,ok,4,0,262,0,67065,644,67709,13.877025610496597,20213,
233,F:\kaggle\neurogolf-2026\experiments\source_review_20260627_candidates\233_submission_ef7b0066ee\task233.onnx,ok,4,0,262,0,65101,644,65745,13.906461098478982,18984,
233,F:\kaggle\neurogolf-2026\experiments\task233_min_binary_masks_20260703\task233.onnx,ok,4,0,262,0,39018,723,39741,14.409861320647629,19379,
233,F:\kaggle\neurogolf-2026\experiments\task233_topk_second_valid_20260627\task233.onnx,error,0,0,0,0,,,,,18917,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Non-zero status code returned while running Gather node. Name:'safe_name_162' Status Message: indices element out of data bounds, idx=4550 must be within the inclusive range [-400,399] |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 157, in score_model |     row.arc_agi_pass, row.arc_agi_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\task233_topk_second_valid_axis_neg1_20260627\task233.onnx,ok,4,0,262,0,65066,644,65710,13.906993600108086,18926,
233,F:\kaggle\neurogolf-2026\experiments\task233_topk_second_where_20260627\task233.onnx,error,0,0,0,0,,,,,18915,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 154, in score_model |     session = onnxruntime.InferenceSession(sanitized.SerializeToString(), options) |               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\cc\AppData\Roaming\Python\Python311\site-packages\onnxruntime\capi\onnxruntime_inference_collection.py"", line 529, in __init__ |     self._create_inference_session(providers, provider_options, disabled_optimizers) | onnxruntime.capi.onnxruntime_pybind11_state.NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Where(9) node with name 'safe_name_138' | "
233,F:\kaggle\neurogolf-2026\experiments\task233_topk_second_xor_20260627\task233.onnx,wrong,4,0,256,6,65061,644,65705,13.907069694922262,18864,
233,F:\kaggle\neurogolf-2026\experiments\task233_wave22_learned_20260705\task233.onnx,ok,4,0,262,0,49136,14404,63540,13.940575092176493,39680,
233,F:\kaggle\neurogolf-2026\experiments\top4_large_extended_bypass_20260702\task233\n0059_where_i1\task233.onnx,error,4,0,0,0,,,,,19082,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Non-zero status code returned while running Gather node. Name:'safe_name_157' Status Message: indices element out of data bounds, idx=4550 must be within the inclusive range [-400,399] |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 160, in score_model |     row.arc_gen_pass, row.arc_gen_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\v127_current\task233.onnx,ok,4,0,262,0,1444504,12251,1456755,10.808278082702646,283250,
233,F:\kaggle\neurogolf-2026\experiments\v168_all_onnxoptimizer_20260619\task233.onnx,ok,4,0,262,0,75000,1063,76063,13.760682776750228,23912,
233,F:\kaggle\neurogolf-2026\experiments\v203_cse_sweep_20260701\task233\task233.onnx,ok,4,0,262,0,40818,722,41540,14.365587902569896,19468,
233,F:\kaggle\neurogolf-2026\experiments\v209_low100_extended_optimizer_20260702\task233.onnx,ok,4,0,262,0,40818,722,41540,14.365587902569896,19468,
233,F:\kaggle\neurogolf-2026\experiments\v217_all_extended_bypass_20260705\task233\n0050_where_i1\task233.onnx,error,4,0,0,0,,,,,28977,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Non-zero status code returned while running Gather node. Name:'safe_name_140' Status Message: indices element out of data bounds, idx=4550 must be within the inclusive range [-400,399] |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 160, in score_model |     row.arc_gen_pass, row.arc_gen_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task233\n0050_where_i1\task233.onnx,error,4,0,0,0,,,,,28977,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Non-zero status code returned while running Gather node. Name:'safe_name_140' Status Message: indices element out of data bounds, idx=4550 must be within the inclusive range [-400,399] |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 160, in score_model |     row.arc_gen_pass, row.arc_gen_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task233\n0182_and_i1\task233.onnx,wrong,4,0,256,6,34252,769,35021,14.536296839456481,29197,
233,F:\kaggle\neurogolf-2026\experiments\v217_onnxoptimizer_20260705\task233.onnx,ok,4,0,262,0,34252,769,35021,14.536296839456481,29535,
233,F:\kaggle\neurogolf-2026\experiments\v225_all400_bypass_20260707\task233\n0050_where_i1\task233.onnx,error,4,0,0,0,,,,,20404,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Non-zero status code returned while running Gather node. Name:'safe_name_136' Status Message: indices element out of data bounds, idx=4550 must be within the inclusive range [-400,399] |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 160, in score_model |     row.arc_gen_pass, row.arc_gen_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\v226_iter2_bypass_20260707\task233\n0050_where_i1\task233.onnx,error,4,0,0,0,,,,,20404,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Non-zero status code returned while running Gather node. Name:'safe_name_136' Status Message: indices element out of data bounds, idx=4550 must be within the inclusive range [-400,399] |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 160, in score_model |     row.arc_gen_pass, row.arc_gen_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
