source,kaggle_ref,zip_sha256,task,assignment_type,status,current_cost,candidate_cost,delta_cost,current_points,candidate_points,delta_points,improved,zip_path,error
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task060,primary,ok,1010,1010,0,18.082294,18.082294,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task195,primary,ok,921,921,0,18.174540,18.174540,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task294,primary,ok,910,910,0,18.186555,18.186555,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task098,primary,ok,900,900,0,18.197605,18.197605,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task259,primary,ok,892,892,0,18.206534,18.206534,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task043,primary,ok,793,793,0,18.324177,18.324177,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task267,primary,ok,758,758,0,18.369317,18.369317,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task254,primary,ok,687,687,0,18.467666,18.467666,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task305,primary,ok,636,636,0,18.544801,18.544801,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task355,primary,ok,539,539,0,18.710284,18.710284,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task031,primary,ok,481,481,0,18.824133,18.824133,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task039,primary,ok,453,453,0,18.884108,18.884108,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task257,primary,ok,400,400,0,19.008535,19.008535,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task049,primary,ok,345,345,0,19.156456,19.156456,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task011,primary,ok,318,318,0,19.237949,19.237949,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task321,primary,ok,300,300,0,19.296218,19.296218,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task003,primary,ok,260,260,0,19.439318,19.439318,0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task038,primary,ok,213,213,0,19.638708,19.638708,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task135,primary,ok,200,200,0,19.701683,19.701683,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
