task,base_cost,base_points,source,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task359,4342,16.62391,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task359.onnx,90845abfbbfb565e107a13896f223d53a39a45e948b5596ace983b8cc7033c5c,1617,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_23'
task363,4612,16.563583,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task363.onnx,993ed2e49657ad0d213afff704284101d86a3c3a79f539607b91ac88ee5ee0a0,3130,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_45'
task384,481,18.824133,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task384.onnx,75dc68ca140213f2a46eddf470420acc22a6e20067776370bb8b6b6eabc94834,1731,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Mul(14) node with name 'safe_name_19'
task386,211,19.648142,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task386.onnx,454df939c0621578a2dcd658c41a6909950c13edd425233bc68711b54b1d7422,814,True,211,19.648141866523932,0,-1.3347606753200125e-07,
task390,3082,16.966666,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task390.onnx,4ab87ac79ff3cd60d0ee922389eb5934d9be7ddbc0c7223368585ee08d59005d,8616,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_52'
task400,1181,17.925883,work/public-kernel-outputs/latest_ryosuke_726648/submission.zip::task400.onnx,74bb526e867fa4243fab3aed44e15c060cbf5455badadcadcc6cf79f98a5e195,735,True,1181,17.92588318380264,0,1.8380264066308882e-07,
task002,14285,15.433035,work/public-kernel-outputs/latest_frank_726672/submission.zip::task002.onnx,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,12833,True,14285,15.433034685335127,0,-3.1466487371289986e-07,
task010,1002,18.090247,work/public-kernel-outputs/latest_frank_726672/submission.zip::task010.onnx,3f065a8894aa271eaf4c83431e8eb7933593a175bc744ed18abe31795ba8a1bd,1491,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(9) node with name 'safe_name_16'
task020,1256,17.864313,work/public-kernel-outputs/latest_frank_726672/submission.zip::task020.onnx,f7db49fb30f6b2eff78ce6c117efd540906d9d1a5fe12062ca9dcf9bbb6ee009,3335,True,1256,17.864312652971854,0,-3.4702814488696276e-07,
task028,168,19.876036,work/public-kernel-outputs/latest_frank_726672/submission.zip::task028.onnx,70d055d527158aa58d649de095e8f8c932b6852fae95be66a3dd6f1a1c5baedb,963,True,168,19.876036020596743,0,2.0596743866008183e-08,
task029,5288,16.426805,work/public-kernel-outputs/latest_frank_726672/submission.zip::task029.onnx,afb5f0166ba1ed3bd0bef01baca1605d07943e9a1c3766adc9284ec96d446bd3,2354,True,5288,16.426804618468477,0,-3.8153152459585726e-07,
task030,2144,17.329571,work/public-kernel-outputs/latest_frank_726672/submission.zip::task030.onnx,2cca72f3f7f65f4c2319beeeae8bc2b49d6bb9652e787824f6d3ca722542b1d5,2606,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_29'
task032,910,18.186555,work/public-kernel-outputs/latest_frank_726672/submission.zip::task032.onnx,ceb4063280bf7df98b687efafb01b5fdedc714737f65b70a50c4a70a941c330a,3828,True,910,18.186555400489105,0,4.0048910676659943e-07,
task036,1610,17.616011,work/public-kernel-outputs/latest_frank_726672/submission.zip::task036.onnx,408e601d6479f3a1f652112888e52c78699d7731f3412d5488a5909c2ea53ae5,4233,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Less(13) node with name 'safe_name_63'
task041,1787,17.511706,work/public-kernel-outputs/latest_frank_726672/submission.zip::task041.onnx,9fb1e714e20f32f128f2e0d784592ded91f0fa89645787d11e687c65bff6a0eb,1354,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'output'
task045,1673,17.577626,work/public-kernel-outputs/latest_frank_726672/submission.zip::task045.onnx,705abb769fa43025f5378bca53c2cd10771ac88312406183cbbf4d7c9a840689,2970,True,1673,17.577626299013176,0,2.9901317688540985e-07,
