"task","valid","gain","base_cost","cost","base_points","points","error","path"
"task151","True","0","900","900","18.197605236675688","18.197605236675688","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task151.onnx"
"task161","True","0.164370091","2131","1808","17.335653367901383","17.500023459047878","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task161.onnx"
"task163","True","0","1791","1791","17.509470597939288","17.509470597939288","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task163.onnx"
"task170","True","0.175632569","2533","2125","17.162840349998326","17.338472918641482","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task170.onnx"
"task172","True","0","30","30","21.598802618337846","21.598802618337846","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task172.onnx"
"task175","True","0","1255","1255","17.865109148434115","17.865109148434115","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task175.onnx"
"task181","True","0","368","368","19.09191706183107","19.09191706183107","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task181.onnx"
"task185","True","0","1955","1955","17.421854527580535","17.421854527580535","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task185.onnx"
"task205","True","0","4891","4891","16.504847939460642","16.504847939460642","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task205.onnx"
"task208","True","0.000955338","4189","4185","16.659782679052967","16.660738017076426","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task208.onnx"
"task209","True","0","7775","7775","16.041331262952568","16.041331262952568","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task209.onnx"
"task212","True","0","2249","2249","17.281759048040684","17.281759048040684","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task212.onnx"
"task228","True","0","962","962","18.130985549334294","18.130985549334294","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task228.onnx"
"task242","True","0","431","431","18.933891909896253","18.933891909896253","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task242.onnx"
"task244","True","0","1179","1179","17.92757809946263","17.92757809946263","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task244.onnx"
"task245","True","0.043971316","2743","2625","17.083192509062396","17.127163824974275","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task245.onnx"
"task247","True","0.017204725","469","461","18.84939723155372","18.86660195700335","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task247.onnx"
"task255","True","0","8911","8911","15.90495825238728","15.90495825238728","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task255.onnx"
"task261","True","0","200","200","19.701682633451963","19.701682633451963","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task261.onnx"
"task266","True","0","311","311","19.260207087820767","19.260207087820767","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task266.onnx"
"task270","True","0.040121959","2975","2858","17.00200068202027","17.042122641510186","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task270.onnx"
"task277","True","0.055226228","3741","3540","16.772891765651856","16.82811799387218","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task277.onnx"
"task280","True","0.249303379","6032","4701","16.295166090312208","16.54446946897587","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task280.onnx"
"task285","True","0","19700","19700","15.11162608527392","15.11162608527392","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task285.onnx"
"task289","True","0","742","742","18.39065075683262","18.39065075683262","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task289.onnx"
"task291","True","0","66","66","20.810345257973573","20.810345257973573","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task291.onnx"
"task293","True","0","1043","1043","18.050143544999226","18.050143544999226","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task293.onnx"
"task295","True","0","1604","1604","17.61974421157354","17.61974421157354","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task295.onnx"
"task300","True","0","526","526","18.73469878726229","18.73469878726229","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task300.onnx"
"task308","True","0","1468","1468","17.708343790825538","17.708343790825538","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task308.onnx"
"task312","True","0","20","20","22.00426772644601","22.00426772644601","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task312.onnx"
"task313","True","0","188","188","19.76355803717005","19.76355803717005","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task313.onnx"
"task317","True","0","146","146","20.016393378291664","20.016393378291664","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task317.onnx"
"task318","True","0","100","100","20.394829814011906","20.394829814011906","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task318.onnx"
"task320","True","0","770","770","18.35360948515227","18.35360948515227","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task320.onnx"
"task328","True","0.05057127","6631","6304","16.20048909863113","16.251060368462284","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task328.onnx"
"task344","True","0","910","910","18.186555400489105","18.186555400489105","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task344.onnx"
"task350","True","0","9036","9036","15.891028122412106","15.891028122412106","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task350.onnx"
"task360","True","0","340","340","19.17105438238979","19.17105438238979","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task360.onnx"
"task368","True","0.35444963","5130","3599","16.457139061835186","16.811588691920967","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task368.onnx"
"task369","True","0","1393","1393","17.760785026220194","17.760785026220194","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task369.onnx"
"task377","True","0","4567","4567","16.573388186815002","16.573388186815002","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task377.onnx"
"task395","True","0","165","165","19.89405452609942","19.89405452609942","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task395.onnx"
