task,owner,owner_track,assignment_type,priority_band,cost,points,gap_to_18,gap_to_19,shape_class,size_trend,color_class,examples,score_source,note
task378,C,onnx_equiv_compression,primary,P1_16_16p7,4426,16.604748,1.395252,2.395252,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task379,A,shape_relayout_high_cost,primary,P0_lt16,9095,15.884520,2.115480,3.115480,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task380,A,shape_relayout_high_cost,primary,P3_ge17p5,99,20.404880,0.000000,0.000000,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task381,C,onnx_equiv_compression,primary,P2_16p7_17p5,2064,17.367599,0.632401,1.632401,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task382,C,onnx_equiv_compression,primary,P1_16_16p7,5702,16.351428,1.648572,2.648572,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task383,C,onnx_equiv_compression,primary,P1_16_16p7,5912,16.315261,1.684739,2.684739,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task384,D,mid_low_score_rule_mining,primary,P3_ge17p5,481,18.824133,0.000000,0.175867,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task385,E,public_source_ab_testing,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task386,D,mid_low_score_rule_mining,primary,P3_ge17p5,211,19.648142,0.000000,0.000000,shape_change,shrink,new_output_colors,268,scripts/v244_costs.txt,
task387,F,tail_validation_packaging,primary,P1_16_16p7,5005,16.481807,1.518193,2.518193,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task388,C,onnx_equiv_compression,primary,P2_16p7_17p5,2190,17.308343,0.691657,1.691657,shape_change,grow,new_output_colors,266,scripts/v244_costs.txt,
task389,F,tail_validation_packaging,primary,P3_ge17p5,130,20.132466,0.000000,0.000000,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task390,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,3082,16.966666,1.033334,2.033334,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task391,C,onnx_equiv_compression,primary,P3_ge17p5,159,19.931096,0.000000,0.000000,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task392,C,onnx_equiv_compression,primary,P2_16p7_17p5,1941,17.429041,0.570959,1.570959,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task393,A,shape_relayout_high_cost,primary,P3_ge17p5,144,20.030187,0.000000,0.000000,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task394,E,public_source_ab_testing,primary,P2_16p7_17p5,2774,17.071954,0.928046,1.928046,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task395,B,same_shape_rules_fill,primary,P3_ge17p5,165,19.894055,0.000000,0.000000,shape_change,shrink,new_output_colors,268,scripts/v244_costs.txt,
task396,E,public_source_ab_testing,primary,P1_16_16p7,4928,16.497311,1.502689,2.502689,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task397,F,tail_validation_packaging,primary,P2_16p7_17p5,2778,17.070513,0.929487,1.929487,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task398,A,shape_relayout_high_cost,primary,P2_16p7_17p5,2834,17.050556,0.949444,1.949444,shape_change,grow,new_output_colors,268,scripts/v244_costs.txt,
task399,F,tail_validation_packaging,primary,P3_ge17p5,60,20.905655,0.000000,0.000000,mixed_shape,shrink,new_output_colors,273,scripts/v244_costs.txt,
task400,D,mid_low_score_rule_mining,primary,P3_ge17p5,1181,17.925883,0.074117,1.074117,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task233,E,public_source_ab_testing,shared_review,P0_lt16,34400,14.554188,3.445812,4.445812,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,shared review duplicate: high-cost shape-change task; pair with primary owner A for source/A-B evidence
task366,F,tail_validation_packaging,shared_review,P0_lt16,33744,14.573442,3.426558,4.426558,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,shared review duplicate: high-cost shape-change task; pair with primary owner A for validation/package evidence
