task,owner,owner_track,assignment_type,priority_band,cost,points,gap_to_18,gap_to_19,shape_class,size_trend,color_class,examples,score_source,note
task274,F,tail_validation_packaging,primary,P3_ge17p5,175,19.835214,0.000000,0.000000,shape_change,shrink,input_palette_only,269,scripts/v244_costs.txt,
task275,E,public_source_ab_testing,primary,P3_ge17p5,1356,17.787706,0.212294,1.212294,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task276,C,onnx_equiv_compression,primary,P3_ge17p5,10,22.697415,0.000000,0.000000,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task277,B,same_shape_rules_fill,primary,P2_16p7_17p5,3741,16.772892,1.227108,2.227108,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task278,C,onnx_equiv_compression,primary,P1_16_16p7,5010,16.480809,1.519191,2.519191,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task279,F,tail_validation_packaging,primary,P1_16_16p7,5553,16.377906,1.622094,2.622094,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task280,B,same_shape_rules_fill,primary,P1_16_16p7,6032,16.295166,1.704834,2.704834,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task281,A,shape_relayout_high_cost,primary,P3_ge17p5,1329,17.807818,0.192182,1.192182,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task282,D,mid_low_score_rule_mining,primary,P3_ge17p5,446,18.899681,0.000000,0.100319,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task283,F,tail_validation_packaging,primary,P3_ge17p5,910,18.186555,0.000000,0.813445,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task284,C,onnx_equiv_compression,primary,P2_16p7_17p5,3608,16.809091,1.190909,2.190909,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task285,B,same_shape_rules_fill,primary,P0_lt16,19700,15.111626,2.888374,3.888374,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task286,C,onnx_equiv_compression,primary,P0_lt16,26909,14.799784,3.200216,4.200216,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task287,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,1994,17.402102,0.597898,1.597898,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task288,A,shape_relayout_high_cost,primary,P3_ge17p5,958,18.135152,0.000000,0.864848,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task289,B,same_shape_rules_fill,primary,P3_ge17p5,742,18.390651,0.000000,0.609349,shape_change,grow,input_palette_only,268,scripts/v244_costs.txt,
task290,F,tail_validation_packaging,primary,P3_ge17p5,355,19.127882,0.000000,0.000000,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task291,B,same_shape_rules_fill,primary,P3_ge17p5,66,20.810345,0.000000,0.000000,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task292,D,mid_low_score_rule_mining,primary,P3_ge17p5,80,20.617973,0.000000,0.000000,same_shape,same_size,new_output_colors,28,scripts/v244_costs.txt,
task293,B,same_shape_rules_fill,primary,P3_ge17p5,1043,18.050144,0.000000,0.949856,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task294,E,public_source_ab_testing,primary,P3_ge17p5,910,18.186555,0.000000,0.813445,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task295,B,same_shape_rules_fill,primary,P3_ge17p5,1604,17.619744,0.380256,1.380256,shape_change,grow,input_palette_only,268,scripts/v244_costs.txt,
task296,D,mid_low_score_rule_mining,primary,P3_ge17p5,314,19.250607,0.000000,0.000000,shape_change,shrink,input_palette_only,268,scripts/v244_costs.txt,
task297,A,shape_relayout_high_cost,primary,P3_ge17p5,1389,17.763661,0.236339,1.236339,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task298,C,onnx_equiv_compression,primary,P3_ge17p5,135,20.094725,0.000000,0.000000,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task299,E,public_source_ab_testing,primary,P3_ge17p5,50,21.087977,0.000000,0.000000,same_shape,same_size,new_output_colors,21,scripts/v244_costs.txt,
task300,B,same_shape_rules_fill,primary,P3_ge17p5,526,18.734699,0.000000,0.265301,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task301,C,onnx_equiv_compression,primary,P3_ge17p5,1141,17.960340,0.039660,1.039660,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task302,C,onnx_equiv_compression,primary,P3_ge17p5,1774,17.519008,0.480992,1.480992,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task303,A,shape_relayout_high_cost,primary,P3_ge17p5,1450,17.720681,0.279319,1.279319,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task304,C,onnx_equiv_compression,primary,P3_ge17p5,1441,17.726907,0.273093,1.273093,shape_change,grow,new_output_colors,266,scripts/v244_costs.txt,
task305,E,public_source_ab_testing,primary,P3_ge17p5,636,18.544801,0.000000,0.455199,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task306,F,tail_validation_packaging,primary,P3_ge17p5,300,19.296218,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task307,C,onnx_equiv_compression,primary,P3_ge17p5,5,23.390562,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task308,B,same_shape_rules_fill,primary,P3_ge17p5,1468,17.708344,0.291656,1.291656,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task309,F,tail_validation_packaging,primary,P3_ge17p5,10,22.697415,0.000000,0.000000,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task310,F,tail_validation_packaging,primary,P2_16p7_17p5,3287,16.902269,1.097731,2.097731,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task311,C,onnx_equiv_compression,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task312,B,same_shape_rules_fill,primary,P3_ge17p5,20,22.004268,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task313,B,same_shape_rules_fill,primary,P3_ge17p5,188,19.763558,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task314,D,mid_low_score_rule_mining,primary,P3_ge17p5,100,20.394830,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task315,C,onnx_equiv_compression,primary,P3_ge17p5,230,19.561921,0.000000,0.000000,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task316,A,shape_relayout_high_cost,primary,P3_ge17p5,426,18.945561,0.000000,0.054439,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task317,B,same_shape_rules_fill,primary,P3_ge17p5,146,20.016393,0.000000,0.000000,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task318,B,same_shape_rules_fill,primary,P3_ge17p5,100,20.394830,0.000000,0.000000,shape_change,shrink,new_output_colors,267,scripts/v244_costs.txt,
task319,A,shape_relayout_high_cost,primary,P1_16_16p7,5833,16.328713,1.671287,2.671287,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task320,B,same_shape_rules_fill,primary,P3_ge17p5,770,18.353609,0.000000,0.646391,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task321,E,public_source_ab_testing,primary,P3_ge17p5,300,19.296218,0.000000,0.000000,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task322,A,shape_relayout_high_cost,primary,P3_ge17p5,200,19.701683,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task323,F,tail_validation_packaging,primary,P2_16p7_17p5,2177,17.314297,0.685703,1.685703,same_shape,same_size,new_output_colors,172,scripts/v244_costs.txt,
task324,E,public_source_ab_testing,primary,P0_lt16,8890,15.907318,2.092682,3.092682,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task325,F,tail_validation_packaging,primary,P3_ge17p5,1483,17.698178,0.301822,1.301822,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
