task_id,owner,owner_track,priority_band,assignment_points,current_score,gap_to_target,total_cost,correctness,shape_class,size_trend,color_class,candidate_id,source_type,onnx_template_candidate,recoverability,estimated_gain,priority,notes
task221,C,onnx_equiv_compression,P3_ge17p5,18.309158,18.309157722581435,6.6908422774185645,805.0,pass,shape_change,grow,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.6908422774185645,13.381685,
task178,C,onnx_equiv_compression,P3_ge17p5,18.364053,18.364053444313353,6.6359465556866475,762.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.6359465556866475,13.271893,
task372,C,onnx_equiv_compression,P3_ge17p5,18.434735,18.43473502996464,6.565264970035361,710.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.565264970035361,13.13053,
task065,C,onnx_equiv_compression,P3_ge17p5,18.541662,18.54166171665521,6.458338283344791,638.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.458338283344791,12.916677,
task332,C,onnx_equiv_compression,P3_ge17p5,18.670279,18.670279094477305,6.329720905522695,561.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.329720905522695,12.659442,
task362,C,onnx_equiv_compression,P3_ge17p5,18.744250,18.744249958246634,6.255750041753366,521.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.255750041753366,12.5115,
task081,C,onnx_equiv_compression,P3_ge17p5,18.860115,18.860115447773744,6.139884552226256,464.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.139884552226256,12.279769,
task072,C,onnx_equiv_compression,P3_ge17p5,18.957367,18.957367166317617,6.042632833682383,421.0,pass,shape_change,shrink,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,6.042632833682383,12.085266,
task203,C,onnx_equiv_compression,P3_ge17p5,19.127882,19.127882210524582,5.872117789475418,355.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.872117789475418,11.744236,
task121,C,onnx_equiv_compression,P3_ge17p5,19.213103,19.213102618633293,5.786897381366707,326.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.786897381366707,11.573795,
