task,strategy,old_cost,new_cost,delta_cost,ok,examples_checked,nodes_before,nodes_after,initializers_before,initializers_after,file_size_before,file_size_after,accepted,artifact_path,notes,old_points,new_points
task077,optimizer_sim,7657,7657,0,True,266,15,15,11,11,979,1403,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task077.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)",16.056624458886876,16.056624458886876
task096,baseline,7678,7678,0,True,266,113,113,33,33,14209,14209,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task096.onnx,,,
task096,optimizer,7678,7678,0,True,266,113,113,33,33,14209,13981,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task096.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",16.053885624439257,16.053885624439257
task096,sim,7678,7678,0,True,266,113,113,33,33,14209,14043,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task096.onnx,onnxsim(input=1x10x30x30),16.053885624439257,16.053885624439257
task096,optimizer_sim,7678,7678,0,True,266,113,113,33,33,14209,14043,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task096.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)",16.053885624439257,16.053885624439257
task009,baseline,6694,6694,0,True,265,23,23,15,15,2039,2039,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task009.onnx,,,
task009,optimizer,6694,6694,0,True,265,23,23,15,15,2039,2039,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task009.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",16.191033118228727,16.191033118228727
task009,sim,6694,6694,0,True,265,23,23,15,15,2039,2794,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task009.onnx,onnxsim(input=1x10x30x30),16.191033118228727,16.191033118228727
task009,optimizer_sim,6694,6694,0,True,265,23,23,15,15,2039,2794,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task009.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)",16.191033118228727,16.191033118228727
task383,baseline,5830,5830,0,True,266,54,54,12,12,4120,4120,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task383.onnx,,,
